txn_id,date,vendor,description,amount,category
1001,2024-01-01 00:00:00.000000000,Goldline Trading,Invoice payment,698769.09,Marketing
1002,2024-01-01 17:33:18.396793587,NovaTech Services,Equipment purchase,92969.23,Marketing
1003,2024-01-02 11:06:36.793587174,Peak Facilities Mgmt,Service fee,1363651.78,CapEx
1004,2024-01-03 04:39:55.190380761,Alpha Logistics,Office supplies,1813641.16,IT
1005,2024-01-03 22:13:13.587174348,BrightPath Consulting,Office supplies,23705.14,Admin
1006,2024-01-04 15:46:31.983967935,Excel Media Group,Maintenance,62738.51,Admin
1007,2024-01-05 09:19:50.380761523,Excel Media Group,Equipment purchase,535930.95,Marketing
1008,2024-01-06 02:53:08.777555110,Alpha Logistics,Invoice payment,275305.35,Marketing
1009,2024-01-06 20:26:27.174348697,Sunrise Contractors,Service fee,431403.13,OpEx
1010,2024-01-07 13:59:45.571142284,NovaTech Services,Maintenance,123060.84,CapEx
1011,2024-01-08 07:33:03.967935871,Sunrise Contractors,Equipment purchase,4985000.0,CapEx
1012,2024-01-09 01:06:22.364729458,BlueStar Procurement,Office supplies,4990000.0,IT
1013,2024-01-09 18:39:40.761523046,Zenith Supplies Ltd,Equipment purchase,488476.21,Marketing
1014,2024-01-10 12:12:59.158316633,BlueStar Procurement,Service fee,2399718.05,CapEx
1015,2024-01-11 05:46:17.555110220,Goldline Trading,,892038.0,Marketing
1016,2024-03-02 00:00:00.000000000,Peak Facilities Mgmt,Maintenance,121912.8,Marketing
1017,2024-06-16 00:00:00.000000000,Goldline Trading,,769215.29,CapEx
1018,2024-01-13 10:26:12.745490981,NovaTech Services,Maintenance,104995.85,Admin
1019,2024-01-14 03:59:31.142284569,Peak Facilities Mgmt,Consultancy retainer,1652294.44,IT
1020,2024-01-14 21:32:49.539078156,Excel Media Group,Service fee,410491.76,Admin
1021,2024-01-15 15:06:07.935871743,Alpha Logistics,Service fee,335275.03,OpEx
1022,2024-01-16 08:39:26.332665330,Peak Facilities Mgmt,,159309.75,Marketing
1023,2024-01-17 02:12:44.729458917,Peak Facilities Mgmt,Equipment purchase,2768488.35,Admin
1024,2024-01-17 19:46:03.126252505,NovaTech Services,Equipment purchase,350882.18,Admin
1025,2024-01-18 13:19:21.523046092,BlueStar Procurement,,232700.68,Marketing
1026,2024-01-19 06:52:39.919839679,Excel Media Group,Office supplies,260875.79,IT
1027,2024-01-20 00:25:58.316633266,NovaTech Services,,983097.69,CapEx
1028,2024-01-20 17:59:16.713426853,Zenith Supplies Ltd,,765409.37,Admin
1029,2024-01-21 11:32:35.110220440,Excel Media Group,Invoice payment,821673.93,OpEx
1030,2024-01-22 05:05:53.507014028,BrightPath Consulting,Consultancy retainer,844273.27,Marketing
1031,2024-01-22 22:39:11.903807615,Peak Facilities Mgmt,Maintenance,-125000.0,Admin
1032,2024-01-23 16:12:30.300601202,Sunrise Contractors,Maintenance,240476.46,CapEx
1033,2024-01-24 09:45:48.697394789,Goldline Trading,Service fee,205178.56,Marketing
1034,2024-01-25 03:19:07.094188376,Alpha Logistics,Consultancy retainer,130527.72,Admin
1035,2024-01-25 20:52:25.490981963,Peak Facilities Mgmt,Equipment purchase,1114558.74,Admin
1036,2024-01-26 14:25:43.887775551,Alpha Logistics,Maintenance,2405957.33,Admin
1037,2024-01-27 07:59:02.284569138,Goldline Trading,Invoice payment,372904.94,CapEx
1038,2024-01-28 01:32:20.681362725,Horizon Advisors,Office supplies,125462.89,OpEx
1039,2024-01-28 19:05:39.078156312,BlueStar Procurement,Consultancy retainer,128447.84,IT
1040,2024-01-29 12:38:57.474949899,BlueStar Procurement,Service fee,1173955.27,OpEx
1041,2024-01-30 06:12:15.871743487,BlueStar Procurement,Equipment purchase,1349009.61,CapEx
1042,2024-01-30 23:45:34.268537074,Sunrise Contractors,Consultancy retainer,999221.15,Marketing
1043,2024-01-31 17:18:52.665330661,BrightPath Consulting,Office supplies,163037.49,OpEx
1044,2024-02-01 10:52:11.062124248,Horizon Advisors,Consultancy retainer,626711.75,Marketing
1045,2024-02-02 04:25:29.458917835,Horizon Advisors,Maintenance,527038.41,Marketing
1046,2024-02-02 21:58:47.855711422,BlueStar Procurement,Invoice payment,614173.59,Marketing
1047,2024-02-03 15:32:06.252505010,Excel Media Group,,1634983.33,CapEx
1048,2024-02-04 09:05:24.649298597,Alpha Logistics,Invoice payment,618710.85,OpEx
